N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"66,600",900,-1.33%,100,"3,975,875","5,969,783",51.25,"12,990,771",11.53,13.92,
2,LG에너지솔루션,"435,000","6,000",-1.36%,500,"1,017,900","234,000",3.03,"305,867",109.77,10.68,
3,SK하이닉스,"108,000","2,000",-1.82%,"5,000","786,243","728,002",49.84,"3,665,926",8.19,16.84,
4,삼성바이오로직스,"835,000","4,000",-0.48%,"2,500","552,478","66,165",10.56,"57,401",142.06,8.21,
5,NAVER,"308,500","4,500",-1.44%,100,"506,091","164,049",54.38,"368,688",3.07,106.72,
6,삼성전자우,"59,900",800,-1.32%,100,"492,909","822,887",73.09,"1,637,064",10.37,N/A,
7,카카오,"95,400",700,-0.73%,100,"425,742","446,270",28.86,"1,075,776",30.46,17.10,
8,삼성SDI,"613,000","7,000",-1.13%,"5,000","421,527","68,765",43.15,"229,282",36.88,8.45,
9,현대차,"177,000",500,-0.28%,"5,000","378,193","213,668",26.50,"556,803",9.92,6.84,
10,LG화학,"505,000","9,000",-1.75%,"5,000","356,491","70,592",48.60,"79,603",10.77,18.47,
11,기아,"76,700",100,-0.13%,"5,000","310,914","405,363",34.31,"728,604",6.53,14.69,
12,POSCO홀딩스,"282,500","3,500",-1.22%,"5,000","246,303","87,187",52.78,"442,236",3.72,13.97,
13,KB금융,"59,400",400,-0.67%,"5,000","244,937","412,352",72.77,"582,621",5.60,9.80,
14,카카오뱅크,"46,200",500,-1.07%,"5,000","219,524","475,159",15.95,"563,382",98.93,4.91,
15,셀트리온,"158,500","5,500",-3.35%,"1,000","218,660","137,956",19.32,"440,028",38.74,15.81,
16,신한지주,"40,300",450,-1.10%,"5,000","208,190","516,600",61.94,"617,591",5.35,8.80,
17,LG전자,"126,500",500,+0.40%,"5,000","207,014","163,648",27.99,"1,096,673",22.17,6.32,
18,삼성물산,"109,000","1,500",-1.36%,100,"203,707","186,887",15.56,"178,199",12.57,5.40,
19,현대모비스,"206,000","1,500",-0.72%,"5,000","194,821","94,573",34.11,"199,559",8.30,6.87,
20,SK이노베이션,"207,500","1,500",-0.72%,"5,000","191,866","92,466",23.54,"214,213",63.85,1.91,
21,SK,"250,500","1,000",+0.40%,200,"185,744","74,149",21.64,"103,010",9.06,10.19,
22,카카오페이,"131,500","3,500",-2.59%,500,"174,157","132,439",42.58,"160,325",-664.14,-2.45,
23,하나금융지주,"46,900",200,-0.42%,"5,000","140,814","300,242",71.25,"766,614",3.99,10.86,
24,한국전력,"21,750",150,-0.68%,"5,000","139,627","641,964",14.65,"1,025,090",-2.63,-7.99,
25,LG생활건강,"877,000","17,000",-1.90%,"5,000","136,972","15,618",40.49,"21,637",18.40,16.65,
26,현대중공업,"148,000","9,000",+6.47%,"5,000","131,384","88,773",4.18,"487,237",-13.88,-14.87,
27,HMM,"26,700",300,-1.11%,"5,000","130,574","489,039",10.21,"1,729,255",1.94,88.62,
28,SK텔레콤,"59,500","1,000",-1.65%,100,"130,206","218,833",46.78,"1,080,217",8.70,13.63,
29,크래프톤,"264,500","2,000",-0.75%,100,"129,796","49,072",28.86,"112,857",23.12,17.86,
30,삼성생명,"64,700",700,-1.07%,500,"129,400","200,000",12.79,"216,849",8.81,4.01,
31,두산중공업,"20,950",100,+0.48%,"5,000","129,136","616,402",8.55,"2,918,171",20.42,10.67,
32,하이브,"294,000","3,000",-1.01%,500,"121,579","41,353",15.36,"124,327",81.53,6.83,
33,S-Oil,"107,500","1,500",+1.42%,"2,500","121,026","112,583",79.58,"451,988",9.09,21.76,
34,고려아연,"626,000","8,000",-1.26%,"5,000","118,126","18,870",20.00,"18,820",14.64,11.07,
35,삼성전기,"157,000","2,000",-1.26%,"5,000","117,269","74,694",28.56,"280,036",13.65,14.29,
36,LG,"73,300","1,500",-2.01%,"5,000","115,302","157,301",36.49,"146,020",4.73,12.36,
37,우리금융지주,"15,200",200,-1.30%,"5,000","110,665","728,061",35.28,"992,820",4.26,10.59,
38,KT&G,"79,800","1,000",-1.24%,"5,000","109,559","137,292",37.28,"598,883",11.21,10.74,
39,대한항공,"31,450",100,-0.32%,"5,000","109,390","347,821",13.42,"1,678,718",16.51,11.60,
40,삼성에스디에스,"137,500",0,0.00%,500,"106,394","77,378",12.78,"108,818",17.41,8.80,
41,SK바이오사이언스,"134,000","4,000",-2.90%,500,"102,732","76,666",5.12,"284,677",27.75,38.08,
42,포스코케미칼,"130,500",0,0.00%,500,"101,090","77,463",6.20,"284,946",74.02,7.92,
43,삼성화재,"213,000","4,500",-2.07%,500,"100,908","47,375",48.84,"164,601",9.60,7.09,
44,엔씨소프트,"443,000","4,000",-0.89%,500,"97,256","21,954",42.05,"66,062",24.50,12.62,
45,아모레퍼시픽,"161,500","1,500",-0.92%,500,"94,466","58,493",26.94,"157,428",57.56,4.20,
46,LG이노텍,"398,500",500,-0.13%,"5,000","94,313","23,667",26.16,"216,096",10.62,30.94,
47,KT,"35,150",200,-0.57%,"5,000","91,781","261,112",41.93,"1,607,946",6.76,9.36,
48,넷마블,"103,000",500,-0.48%,100,"88,532","85,954",22.84,"109,047",36.85,4.29,
49,SK아이이테크놀로지,"122,000","3,000",-2.40%,"1,000","86,983","71,298",9.57,"188,548",87.58,5.57,
50,기업은행,"11,000",150,-1.35%,"5,000","81,873","744,301",14.67,"1,121,090",3.63,9.21,
51,SK스퀘어,"57,100",400,-0.70%,100,"80,778","141,468",39.80,"794,230",3.54,N/A,
52,현대글로비스,"197,500","1,000",+0.51%,500,"74,062","37,500",44.14,"64,200",9.46,14.41,
53,SK바이오팜,"88,500",600,-0.67%,500,"69,307","78,313",6.05,"74,147",106.88,15.75,
