date_old,date,time,temp,cum_precipitation,humidity,insolation,sunshine,wind,wind_direction,sea_lvl_pressure,pressure
2019-10-03 오전 12:00:00,2019-10-03,12,20,23.2,94.1,3.4,0,5.5,351.7,1004.1,994.2
2019-10-03 오전 12:01:00,2019-10-03,12,20.1,0,94.1,0,0,3.7,348.6,1004.1,994.2
2019-10-03 오전 12:02:00,2019-10-03,12,20,0,94.1,0,0,3.6,346.4,1004.1,994.2
2019-10-03 오전 12:03:00,2019-10-03,12,20,0,94.1,0,0,3.1,349.1,1004.1,994.2
2019-10-03 오전 12:04:00,2019-10-03,12,20,0,94,0,0,3.4,335.9,1004.1,994.2
2019-10-03 오전 12:05:00,2019-10-03,12,20,0,94.1,0,0,1.8,5.7,1004.1,994.2
2019-10-03 오전 12:06:00,2019-10-03,12,20,0.1,94,0,0,3.8,342.4,1004,994.1
2019-10-03 오전 12:07:00,2019-10-03,12,20,0.1,94,0,0,5.2,346.3,1004,994.1
2019-10-03 오전 12:08:00,2019-10-03,12,20,0.1,94,0,0,3.3,347.6,1004,994.1
2019-10-03 오전 12:09:00,2019-10-03,12,20,0.1,94,0,0,4,349.3,1004,994.1
2019-10-03 오전 12:10:00,2019-10-03,12,20,0.1,93.9,0,0,3.1,334.9,1004,994.1
2019-10-03 오전 12:11:00,2019-10-03,12,20.1,0.1,93.9,0,0,3.2,339.4,1003.9,994
2019-10-03 오전 12:12:00,2019-10-03,12,20.1,0.1,94,0,0,2.6,355,1003.9,994
2019-10-03 오전 12:13:00,2019-10-03,12,20.1,0.2,94,0,0,2.7,351.2,1003.9,994
2019-10-03 오전 12:14:00,2019-10-03,12,20.1,0.2,94,0,0,3.4,340.4,1003.8,993.9
2019-10-03 오전 12:15:00,2019-10-03,12,20.1,0.2,94.1,0,0,5.2,333.8,1003.8,993.9
2019-10-03 오전 12:16:00,2019-10-03,12,20.1,0.2,94.1,0,0,3.6,332,1003.7,993.8
2019-10-03 오전 12:17:00,2019-10-03,12,20.1,0.2,94.1,0,0,3.1,343.9,1003.7,993.8
2019-10-03 오전 12:18:00,2019-10-03,12,20,0.2,94.2,0,0,3.2,346.2,1003.7,993.8
2019-10-03 오전 12:19:00,2019-10-03,12,20,0.2,94.1,0,0,3.7,348.6,1003.7,993.8
2019-10-03 오전 12:20:00,2019-10-03,12,20,0.2,94.1,0,0,4.2,332.2,1003.6,993.7
2019-10-03 오전 12:21:00,2019-10-03,12,20,0.3,94.1,0,0,3.2,336.6,1003.6,993.7
2019-10-03 오전 12:22:00,2019-10-03,12,20,0.3,94.1,0,0,5,3.4,1003.6,993.7
2019-10-03 오전 12:23:00,2019-10-03,12,20,0.3,94.1,0,0,3.9,341.1,1003.6,993.7
2019-10-03 오전 12:24:00,2019-10-03,12,20,0.3,94,0,0,4.1,332.9,1003.5,993.6
2019-10-03 오전 12:25:00,2019-10-03,12,20,0.3,94,0,0,5.1,343.3,1003.5,993.6
2019-10-03 오전 12:26:00,2019-10-03,12,20,0.4,94,0,0,5.4,340.8,1003.5,993.6
2019-10-03 오전 12:27:00,2019-10-03,12,20,0.4,94,0,0,3.4,342.6,1003.5,993.6
2019-10-03 오전 12:28:00,2019-10-03,12,20,0.5,94,0,0,5.5,338,1003.5,993.6
2019-10-03 오전 12:29:00,2019-10-03,12,20,0.6,94,0,0,5.5,352.8,1003.4,993.5
2019-10-03 오전 12:30:00,2019-10-03,12,20,0.6,93.9,0,0,4.8,349.5,1003.4,993.5
2019-10-03 오전 12:31:00,2019-10-03,12,20,0.6,93.9,0,0,3.4,347.7,1003.4,993.5
2019-10-03 오전 12:32:00,2019-10-03,12,20.1,0.8,94,0,0,4,342.7,1003.4,993.5
2019-10-03 오전 12:33:00,2019-10-03,12,20.1,0.8,94,0,0,4.4,339.7,1003.4,993.5
2019-10-03 오전 12:34:00,2019-10-03,12,20,0.8,94,0,0,4.2,336.8,1003.3,993.4
2019-10-03 오전 12:35:00,2019-10-03,12,20,0.8,94,0,0,2.9,340.1,1003.4,993.5
2019-10-03 오전 12:36:00,2019-10-03,12,20,0.8,94,0,0,4.5,324.3,1003.4,993.5
2019-10-03 오전 12:37:00,2019-10-03,12,20,0.9,94,0,0,4.7,338.3,1003.4,993.5
2019-10-03 오전 12:38:00,2019-10-03,12,20,0.9,94,0,0,2.6,337,1003.4,993.5
2019-10-03 오전 12:39:00,2019-10-03,12,20,0.9,94,0,0,3.3,358.6,1003.3,993.4
2019-10-03 오전 12:40:00,2019-10-03,12,20,1,94,0,0,4.5,344,1003.3,993.4
2019-10-03 오전 12:41:00,2019-10-03,12,20,1,93.9,0,0,2.9,351.5,1003.3,993.4
